gen,min,max,mean,median,std,time
0,-60907.0,-16397.0,-28434.04,-27416.0,4593.52,13.875049352645874
1,-51916.0,-14900.0,-25466.99,-24912.0,3187.75,13.918376207351685
2,-51923.0,-13903.0,-23784.71,-23408.0,2799.61,13.909775018692017
3,-59917.0,-12897.0,-22545.51,-22401.0,2711.59,13.989922046661377
4,-48408.0,-12892.0,-21500.77,-21397.0,2681.8,14.150539875030518
5,-52420.0,-11895.0,-20575.5,-20399.0,2665.12,14.066586017608643
6,-54905.0,-11385.0,-19719.79,-19402.0,2652.05,14.218997716903687
7,-45397.0,-10392.0,-18947.05,-18409.0,2644.15,14.019036293029785
8,-46902.0,-9894.0,-18231.46,-17901.0,2650.8,14.272858619689941
9,-51899.0,-9398.0,-17558.52,-17395.0,2656.4,14.171396255493164
10,-52402.0,-8394.0,-16923.19,-16405.0,2667.57,14.143521070480347
11,-53408.0,-7893.0,-16345.21,-15902.0,2682.73,14.160845041275024
12,-47908.0,-7893.0,-15774.08,-15400.0,2665.4,13.963801622390747
13,-50396.0,-7395.0,-15262.29,-14899.0,2680.08,14.160563230514526
14,-46414.0,-7393.0,-14790.23,-14399.0,2692.95,14.028468370437622
15,-44911.0,-6889.0,-14344.71,-13900.0,2701.18,14.213267087936401
16,-40910.0,-6889.0,-13917.84,-13401.0,2703.41,14.02665376663208
17,-41392.0,-6889.0,-13533.27,-12904.0,2710.89,13.981871843338013
18,-42909.0,-6388.0,-13173.73,-12893.0,2735.26,14.078787088394165
19,-41407.0,-5887.0,-12825.42,-12397.0,2728.57,14.026450157165527
20,-40904.0,-5887.0,-12479.93,-11901.0,2720.22,14.157328844070435
21,-49905.0,-5392.0,-12201.72,-11893.0,2780.11,13.877114295959473
22,-43408.0,-4887.0,-11894.35,-11398.0,2749.75,13.96489930152893
23,-48912.0,-4887.0,-11613.4,-10904.0,2763.25,13.948328256607056
24,-47406.0,-4391.0,-11373.95,-10896.0,2807.23,13.748090028762817
25,-43903.0,-4390.0,-11131.29,-10403.0,2825.39,14.043680667877197
26,-41403.0,-3392.0,-10903.04,-10396.0,2821.44,14.040636539459229
27,-39903.0,-3392.0,-10694.75,-9908.0,2840.91,13.790697813034058
28,-44400.0,-3392.0,-10493.38,-9897.0,2825.28,13.785304069519043
29,-49907.0,-3392.0,-10313.67,-9893.0,2835.45,13.812973976135254
30,-40395.0,-3392.0,-10155.42,-9401.0,2882.62,13.748953819274902
31,-42409.0,-3381.0,-9968.09,-9396.0,2876.58,13.726871728897095
32,-38408.0,-3381.0,-9790.59,-9391.0,2884.17,13.716042280197144
33,-42902.0,-2388.0,-9646.81,-8899.0,2933.08,13.796753883361816
34,-46403.0,-2388.0,-9482.07,-8895.0,2929.11,13.561564922332764
35,-48407.0,-2388.0,-9345.92,-8891.0,2957.56,13.648702621459961
36,-42402.0,-2388.0,-9198.89,-8400.0,2966.15,13.79922866821289
37,-40906.0,-2388.0,-9053.98,-8395.0,2968.97,13.53134799003601
38,-41906.0,-2388.0,-8913.09,-8391.0,2994.58,13.573421001434326
39,-37402.0,-2388.0,-8785.17,-7901.0,3050.04,13.698246240615845
40,-43403.0,-2382.0,-8652.87,-7896.0,3048.84,13.583848476409912
41,-42412.0,-1892.0,-8505.59,-7892.0,3062.23,13.42130160331726
42,-42894.0,-1892.0,-8370.01,-7886.0,3097.25,13.360394954681396
43,-50902.0,-1892.0,-8251.67,-7397.0,3104.72,13.59771180152893
44,-36908.0,-1883.0,-8159.03,-7394.0,3168.36,13.339331865310669
45,-37897.0,-1883.0,-8006.25,-7390.0,3110.58,13.38053560256958
46,-41404.0,-1883.0,-7892.22,-6902.0,3164.84,13.527132272720337
47,-47404.0,-1383.0,-7798.48,-6896.0,3210.82,13.290172576904297
48,-45408.0,-1380.0,-7683.87,-6892.0,3243.08,13.451536178588867
49,-38894.0,-1380.0,-7559.86,-6889.0,3241.81,13.385587453842163
50,-41901.0,-1380.0,-7450.12,-6399.0,3269.46,13.230424642562866
51,-38899.0,-1380.0,-7346.67,-6394.0,3330.37,13.289840936660767
52,-43898.0,-1380.0,-7208.12,-6391.0,3323.55,13.158084869384766
53,-41907.0,-1380.0,-7093.86,-6387.0,3354.44,13.426730155944824
54,-40906.0,-885.0,-7008.07,-5896.0,3414.02,13.016295909881592
55,-49916.0,-876.0,-6891.89,-5892.0,3440.65,13.208380222320557
56,-48420.0,-876.0,-6780.35,-5889.0,3458.96,12.976661682128906
57,-41899.0,-875.0,-6656.08,-5886.0,3436.85,13.314913988113403
58,-40394.0,-875.0,-6561.54,-5395.0,3485.04,13.02779221534729
59,-44910.0,-874.0,-6458.45,-5392.0,3503.37,13.078407526016235
60,-40413.0,-874.0,-6360.31,-5389.0,3510.48,13.143676042556763
61,-46901.0,-874.0,-6271.58,-5386.0,3570.02,12.85484266281128
62,-38896.0,-384.0,-6177.03,-4898.0,3590.04,12.895262479782104
63,-37901.0,-384.0,-6044.28,-4892.0,3566.04,13.12512755393982
64,-50393.0,-384.0,-5978.5,-4889.0,3619.34,12.823310375213623
65,-45397.0,-384.0,-5881.83,-4887.0,3644.51,12.82064962387085
66,-42392.0,-376.0,-5812.45,-4884.0,3669.58,12.837647914886475
67,-56914.0,-376.0,-5735.86,-4394.0,3706.49,12.891130208969116
68,-45411.0,-376.0,-5633.83,-4391.0,3697.87,12.730865478515625
69,-46397.0,-376.0,-5522.05,-4388.0,3676.62,12.782718896865845
70,-41386.0,-376.0,-5432.76,-4386.0,3687.77,12.704874277114868
71,-40892.0,-376.0,-5367.4,-4383.0,3730.59,12.528720617294312
72,-41404.0,-376.0,-5292.38,-3894.0,3767.6,12.645392894744873
73,-38894.0,125.0,-5185.24,-3889.0,3774.16,12.727485656738281
74,-42899.0,125.0,-5107.69,-3887.0,3805.48,12.521029472351074
75,-40390.0,125.0,-5005.05,-3884.0,3829.46,12.455378770828247
76,-39395.0,125.0,-4903.56,-3880.0,3827.15,12.396067380905151
77,-40407.0,125.0,-4811.56,-3390.0,3852.45,12.495638370513916
78,-44896.0,128.0,-4717.96,-3387.0,3873.34,12.244885444641113
79,-44902.0,128.0,-4585.65,-3384.0,3843.2,12.346384525299072
80,-43394.0,128.0,-4494.93,-3381.0,3872.49,12.459871768951416
81,-39887.0,128.0,-4372.45,-2889.0,3873.92,12.210742950439453
