gen,min,max,mean,median,std,num_invalid,time,best_individual
0,-81431.0,-15404.0,-33059.78000000003,-31912.0,7473.69,91133,11.1829514503479,"[4, 16, 15, 8, 13, 4, 19, 6, 6, 7, 10, 7, 14, 4, 13, 1, 14, 7, 4, 6, 9, 9, 12, 8, 17, 14, 2, 1, 11, 17, 1, 2, 3, 5, 13, 8, 1, 16, 15, 8, 4, 15, 2, 20, 12, 10, 7, 6, 4, 1, 7, 11, 13, 14]"
1,-77431.0,-14406.0,-32032.280000000028,-30914.0,7020.96,91100,11.071300745010376,"[4, 16, 15, 8, 13, 4, 19, 6, 6, 7, 10, 7, 14, 4, 13, 1, 14, 7, 4, 6, 9, 9, 12, 8, 17, 14, 2, 1, 11, 17, 1, 2, 3, 5, 13, 8, 1, 16, 15, 8, 16, 7, 2, 11, 12, 10, 7, 6, 4, 1, 7, 11, 13, 14]"
2,-75929.0,-14406.0,-31196.93000000005,-29919.0,6668.27,90952,11.390445232391357,"[4, 16, 15, 8, 13, 4, 19, 6, 6, 7, 10, 7, 14, 4, 13, 1, 14, 7, 4, 6, 9, 9, 12, 8, 17, 14, 2, 1, 11, 17, 1, 2, 3, 5, 13, 8, 1, 16, 15, 8, 16, 7, 2, 11, 12, 10, 7, 6, 4, 1, 7, 11, 13, 14]"
3,-72421.0,-14406.0,-30507.380000000005,-29414.0,6408.43,91058,11.649944067001343,"[4, 16, 15, 8, 13, 4, 19, 6, 6, 7, 10, 7, 14, 4, 13, 1, 14, 7, 4, 6, 9, 9, 12, 8, 17, 14, 2, 1, 11, 17, 1, 2, 3, 5, 13, 8, 1, 16, 15, 8, 16, 7, 2, 11, 12, 10, 7, 6, 4, 1, 7, 11, 13, 14]"
4,-68930.0,-14406.0,-29904.68000000005,-28912.0,6164.72,90985,11.814604759216309,"[4, 16, 15, 8, 13, 4, 19, 6, 6, 7, 10, 7, 14, 4, 13, 1, 14, 7, 4, 6, 9, 9, 12, 8, 17, 14, 2, 1, 11, 17, 1, 2, 3, 5, 13, 8, 1, 16, 15, 8, 16, 7, 2, 11, 12, 10, 7, 6, 4, 1, 7, 11, 13, 14]"
5,-69426.0,-14401.0,-29349.0,-28412.0,5918.78,91246,11.589122772216797,"[6, 4, 2, 17, 15, 2, 3, 10, 7, 9, 3, 10, 15, 8, 15, 4, 11, 17, 5, 2, 5, 9, 11, 13, 8, 10, 6, 10, 3, 2, 17, 18, 8, 18, 13, 8, 14, 13, 13, 5, 17, 11, 12, 1, 13, 14, 8, 20, 4, 12, 7, 14, 18, 9]"
6,-70923.0,-14401.0,-28951.160000000033,-27915.0,5765.9,91223,11.655261754989624,"[6, 4, 2, 17, 15, 2, 3, 10, 7, 9, 3, 10, 15, 8, 15, 4, 11, 17, 5, 2, 5, 9, 11, 13, 8, 10, 6, 10, 3, 2, 17, 18, 8, 18, 13, 8, 14, 13, 13, 5, 17, 11, 12, 1, 13, 14, 8, 20, 4, 12, 7, 14, 18, 9]"
7,-75929.0,-14401.0,-28660.560000000056,-27423.0,5688.36,91084,11.74278712272644,"[6, 4, 2, 17, 15, 2, 3, 10, 7, 9, 3, 10, 15, 8, 15, 4, 11, 17, 5, 2, 5, 9, 11, 13, 8, 10, 6, 10, 3, 2, 17, 18, 8, 18, 13, 8, 14, 13, 13, 5, 17, 11, 12, 1, 13, 14, 8, 20, 4, 12, 7, 14, 18, 9]"
8,-72918.0,-13906.0,-28488.73999999999,-27416.0,5700.26,91160,11.69628643989563,"[7, 15, 19, 1, 13, 1, 2, 10, 17, 15, 2, 10, 17, 2, 2, 6, 5, 6, 20, 7, 13, 20, 19, 12, 2, 9, 18, 16, 10, 9, 5, 14, 7, 20, 12, 11, 11, 20, 2, 10, 12, 11, 8, 5, 18, 2, 18, 19, 9, 16, 19, 20, 20, 10]"
9,-73436.0,-13906.0,-28318.609999999986,-27410.0,5725.3,91128,11.8690025806427,"[7, 15, 19, 1, 13, 1, 2, 10, 17, 15, 2, 10, 17, 2, 2, 6, 5, 6, 20, 7, 13, 20, 19, 12, 2, 9, 18, 16, 10, 9, 5, 14, 7, 20, 12, 11, 11, 20, 2, 10, 12, 11, 8, 5, 18, 2, 18, 19, 9, 16, 19, 20, 20, 10]"
