gen,min,max,mean,median,std,num_invalid,time,best_individual
0,-83929.0,-16412.0,-32979.70999999996,-31910.0,7407.08,72576,9.894754409790039,"[3, 11, 12, 1, 12, 18, 7, 6, 5, 19, 19, 12, 12, 18, 18, 12, 17, 15, 10, 5, 6, 2, 18, 4, 19, 1, 13, 6, 4, 19, 18, 12, 2, 16, 11, 2, 14, 5, 18, 11, 14, 13, 6, 18, 8, 6, 3, 10, 2, 10, 3, 4, 7, 16]"
1,-76423.0,-15905.0,-31936.969999999972,-30911.0,6963.64,72569,9.75832223892212,"[10, 12, 13, 14, 13, 11, 5, 9, 1, 2, 8, 19, 15, 3, 5, 8, 15, 18, 15, 9, 14, 4, 9, 5, 16, 5, 5, 1, 12, 4, 8, 5, 13, 20, 7, 6, 15, 14, 7, 20, 16, 2, 20, 12, 1, 5, 18, 6, 4, 14, 2, 10, 7, 19]"
2,-72921.0,-13404.0,-30927.660000000033,-29913.0,6513.8,72328,9.781993627548218,"[20, 19, 14, 3, 6, 11, 2, 3, 9, 14, 3, 15, 19, 16, 14, 18, 16, 19, 17, 2, 2, 19, 10, 16, 7, 1, 6, 5, 2, 14, 12, 18, 19, 17, 7, 19, 17, 10, 13, 15, 20, 8, 10, 5, 15, 3, 13, 7, 6, 5, 4, 11, 16, 6]"
3,-72920.0,-13404.0,-30043.880000000005,-28917.0,6145.89,72432,9.732347965240479,"[20, 19, 14, 3, 6, 11, 2, 3, 9, 14, 3, 15, 19, 16, 14, 18, 16, 19, 17, 2, 2, 19, 10, 16, 7, 1, 6, 5, 2, 14, 12, 18, 19, 17, 7, 19, 17, 10, 13, 15, 20, 8, 10, 5, 15, 3, 13, 7, 6, 5, 4, 11, 16, 6]"
4,-68438.0,-13404.0,-29313.56999999995,-28412.0,5864.89,71978,9.842543125152588,"[20, 19, 14, 3, 6, 11, 2, 3, 9, 14, 3, 15, 19, 16, 14, 18, 16, 19, 17, 2, 2, 19, 10, 16, 7, 1, 6, 5, 2, 14, 12, 18, 19, 17, 7, 19, 17, 10, 13, 15, 20, 8, 10, 5, 15, 3, 13, 7, 6, 5, 4, 11, 16, 6]"
5,-67926.0,-13404.0,-28623.959999999963,-27908.0,5549.83,72095,9.868723392486572,"[20, 19, 14, 3, 6, 11, 2, 3, 9, 14, 3, 15, 19, 16, 14, 18, 16, 19, 17, 2, 2, 19, 10, 16, 7, 1, 6, 5, 2, 14, 12, 18, 19, 17, 7, 19, 17, 10, 13, 15, 20, 8, 10, 5, 15, 3, 13, 7, 6, 5, 4, 11, 16, 6]"
6,-65928.0,-13404.0,-28077.27000000002,-27409.0,5327.24,72286,9.874248266220093,"[20, 19, 14, 3, 6, 11, 2, 3, 9, 14, 3, 15, 19, 16, 14, 18, 16, 19, 17, 2, 2, 19, 10, 16, 7, 1, 6, 5, 2, 14, 12, 18, 19, 17, 7, 19, 17, 10, 13, 15, 20, 8, 10, 5, 15, 3, 13, 7, 6, 5, 4, 11, 16, 6]"
7,-65924.0,-13404.0,-27578.800000000047,-26910.0,5143.05,72444,9.776320934295654,"[20, 19, 14, 3, 6, 11, 2, 3, 9, 14, 3, 15, 19, 16, 14, 18, 16, 19, 17, 2, 2, 19, 10, 16, 7, 1, 6, 5, 2, 14, 12, 18, 19, 17, 7, 19, 17, 10, 13, 15, 20, 8, 10, 5, 15, 3, 13, 7, 6, 5, 4, 11, 16, 6]"
8,-65428.0,-13404.0,-27154.73999999999,-26414.0,4970.49,72349,9.858539342880249,"[20, 19, 14, 3, 6, 11, 2, 3, 9, 14, 3, 15, 19, 16, 14, 18, 16, 19, 17, 2, 2, 19, 10, 16, 7, 1, 6, 5, 2, 14, 12, 18, 19, 17, 7, 19, 17, 10, 13, 15, 20, 8, 10, 5, 15, 3, 13, 7, 6, 5, 4, 11, 16, 6]"
9,-60916.0,-12902.0,-26805.939999999944,-25920.0,4877.42,71976,9.842453002929688,"[9, 7, 1, 13, 2, 16, 16, 5, 6, 5, 10, 19, 13, 12, 2, 6, 3, 14, 3, 1, 6, 18, 19, 9, 3, 12, 9, 17, 6, 13, 15, 20, 12, 4, 11, 19, 1, 18, 7, 3, 2, 10, 20, 17, 5, 10, 18, 1, 19, 13, 8, 18, 1, 10]"
10,-60926.0,-12902.0,-26427.76000000001,-25911.0,4769.28,72306,9.888022899627686,"[9, 7, 1, 13, 2, 16, 16, 5, 6, 5, 10, 19, 13, 12, 2, 6, 3, 14, 3, 1, 6, 18, 19, 9, 3, 12, 9, 17, 6, 13, 15, 20, 12, 4, 11, 19, 1, 18, 7, 3, 2, 10, 20, 17, 5, 10, 18, 1, 19, 13, 8, 18, 1, 10]"
11,-59925.0,-12897.0,-26096.160000000033,-25416.0,4707.79,72418,10.042827844619751,"[9, 10, 13, 11, 6, 4, 16, 2, 17, 6, 11, 13, 13, 4, 18, 18, 20, 7, 20, 15, 14, 6, 14, 12, 3, 5, 2, 9, 5, 14, 6, 20, 1, 2, 6, 17, 6, 13, 13, 14, 16, 15, 11, 18, 19, 7, 8, 6, 5, 13, 2, 3, 10, 1]"
12,-60920.0,-11901.0,-25773.22999999998,-25408.0,4637.49,72511,9.818397998809814,"[20, 19, 14, 3, 6, 11, 2, 3, 9, 14, 3, 15, 14, 20, 17, 18, 16, 19, 17, 2, 2, 19, 10, 16, 7, 1, 6, 5, 2, 14, 12, 18, 19, 17, 7, 19, 17, 10, 13, 15, 20, 8, 10, 5, 15, 3, 13, 7, 6, 5, 4, 11, 16, 6]"
13,-57413.0,-11901.0,-25526.560000000056,-24916.0,4631.09,72308,9.906032800674438,"[20, 19, 14, 3, 6, 11, 2, 3, 9, 14, 3, 15, 14, 20, 17, 18, 16, 19, 17, 2, 2, 19, 10, 16, 7, 1, 6, 5, 2, 14, 12, 18, 19, 17, 7, 19, 17, 10, 13, 15, 20, 8, 10, 5, 15, 3, 13, 7, 6, 5, 4, 11, 16, 6]"
14,-57938.0,-11901.0,-25220.52000000002,-24907.0,4572.73,72499,9.830844640731812,"[20, 19, 14, 3, 6, 11, 2, 3, 9, 14, 3, 15, 14, 20, 17, 18, 16, 19, 17, 2, 2, 19, 10, 16, 7, 1, 6, 5, 2, 14, 12, 18, 19, 17, 7, 19, 17, 10, 13, 15, 20, 8, 10, 5, 15, 3, 13, 7, 6, 5, 4, 11, 16, 6]"
15,-57916.0,-11899.0,-24961.609999999986,-24415.0,4557.42,72320,10.043060779571533,"[14, 1, 9, 19, 4, 11, 2, 3, 9, 14, 3, 15, 19, 16, 14, 18, 16, 19, 17, 2, 2, 19, 10, 16, 7, 1, 6, 5, 2, 14, 12, 18, 19, 17, 7, 19, 17, 10, 13, 15, 20, 8, 10, 5, 15, 3, 13, 7, 6, 5, 4, 15, 10, 9]"
16,-60915.0,-10405.0,-24725.780000000028,-24409.0,4532.79,72010,9.954505443572998,"[3, 2, 4, 15, 14, 4, 3, 10, 17, 6, 19, 10, 19, 20, 13, 14, 18, 14, 13, 12, 2, 18, 10, 17, 7, 1, 1, 9, 5, 14, 6, 20, 1, 2, 6, 17, 6, 13, 13, 14, 16, 15, 11, 18, 17, 16, 19, 5, 5, 6, 17, 7, 18, 13]"
17,-58934.0,-10405.0,-24549.810000000056,-23918.0,4552.86,72358,9.740350008010864,"[3, 2, 4, 15, 14, 4, 3, 10, 17, 6, 19, 10, 19, 20, 13, 14, 18, 14, 13, 12, 2, 18, 10, 17, 7, 1, 1, 9, 5, 14, 6, 20, 1, 2, 6, 17, 6, 13, 13, 14, 16, 15, 11, 18, 17, 16, 19, 5, 5, 6, 17, 7, 18, 13]"
18,-61921.0,-10405.0,-24345.939999999944,-23912.0,4549.08,72302,9.928593158721924,"[3, 2, 4, 15, 14, 4, 3, 10, 17, 6, 19, 10, 19, 20, 13, 14, 18, 14, 13, 12, 2, 18, 10, 17, 7, 1, 1, 9, 5, 14, 6, 20, 1, 2, 6, 17, 6, 13, 13, 14, 16, 15, 11, 18, 17, 16, 19, 5, 5, 6, 17, 7, 18, 13]"
19,-59921.0,-10405.0,-24186.550000000047,-23907.0,4552.61,72027,9.848681449890137,"[3, 2, 4, 15, 14, 4, 3, 10, 17, 6, 19, 10, 19, 20, 13, 14, 18, 14, 13, 12, 2, 18, 10, 17, 7, 1, 1, 9, 5, 14, 6, 20, 1, 2, 6, 17, 6, 13, 13, 14, 16, 15, 11, 18, 17, 16, 19, 5, 5, 6, 17, 7, 18, 13]"
20,-60925.0,-9902.0,-24015.089999999967,-23417.0,4544.09,72173,9.93363881111145,"[18, 17, 9, 17, 2, 16, 2, 1, 15, 16, 3, 14, 8, 17, 2, 14, 3, 6, 20, 14, 18, 14, 13, 3, 14, 10, 5, 1, 15, 8, 12, 19, 18, 12, 16, 7, 17, 9, 14, 6, 9, 1, 11, 6, 5, 2, 5, 14, 17, 10, 18, 8, 16, 8]"
21,-58922.0,-9902.0,-23879.06999999995,-23412.0,4572.27,72563,9.897006034851074,"[18, 17, 9, 17, 2, 16, 2, 1, 15, 16, 3, 14, 8, 17, 2, 14, 3, 6, 20, 14, 18, 14, 13, 3, 14, 10, 5, 1, 15, 8, 12, 19, 18, 12, 16, 7, 17, 9, 14, 6, 9, 1, 11, 6, 5, 2, 5, 14, 17, 10, 18, 8, 16, 8]"
22,-67925.0,-9902.0,-23688.839999999967,-23407.0,4558.34,72189,9.972543239593506,"[18, 17, 9, 17, 2, 16, 2, 1, 15, 16, 3, 14, 8, 17, 2, 14, 3, 6, 20, 14, 18, 14, 13, 3, 14, 10, 5, 1, 15, 8, 12, 19, 18, 12, 16, 7, 17, 9, 14, 6, 9, 1, 11, 6, 5, 2, 5, 14, 17, 10, 18, 8, 16, 8]"
23,-57428.0,-9902.0,-23666.890000000014,-23403.0,4651.27,72503,9.823026180267334,"[18, 17, 9, 17, 2, 16, 2, 1, 15, 16, 3, 14, 8, 17, 2, 14, 3, 6, 20, 14, 18, 14, 13, 3, 14, 10, 5, 1, 15, 8, 12, 19, 18, 12, 16, 7, 17, 9, 14, 6, 9, 1, 11, 6, 5, 2, 5, 14, 17, 10, 18, 8, 16, 8]"
24,-59416.0,-9412.0,-23459.800000000047,-22914.0,4613.12,72137,10.03172492980957,"[12, 3, 10, 18, 8, 11, 5, 19, 17, 10, 4, 14, 5, 6, 4, 12, 11, 10, 20, 15, 14, 2, 9, 14, 3, 3, 14, 2, 9, 10, 8, 14, 18, 10, 6, 5, 17, 10, 8, 18, 9, 17, 10, 5, 15, 3, 13, 7, 6, 16, 4, 11, 1, 9]"
25,-65427.0,-9412.0,-23291.030000000028,-22910.0,4650.78,72173,10.001399993896484,"[12, 3, 10, 18, 8, 11, 5, 19, 17, 10, 4, 14, 5, 6, 4, 12, 11, 10, 20, 15, 14, 2, 9, 14, 3, 3, 14, 2, 9, 10, 8, 14, 18, 10, 6, 5, 17, 10, 8, 18, 9, 17, 10, 5, 15, 3, 13, 7, 6, 16, 4, 11, 1, 9]"
26,-56410.0,-9412.0,-23202.310000000056,-22908.0,4700.01,72039,9.80234169960022,"[12, 3, 10, 18, 8, 11, 5, 19, 17, 10, 4, 14, 5, 6, 4, 12, 11, 10, 20, 15, 14, 2, 9, 14, 3, 3, 14, 2, 9, 10, 8, 14, 18, 10, 6, 5, 17, 10, 8, 18, 9, 17, 10, 5, 15, 3, 13, 7, 6, 16, 4, 11, 1, 9]"
27,-58922.0,-9412.0,-22978.849999999977,-22415.0,4668.57,72061,9.83503270149231,"[12, 3, 10, 18, 8, 11, 5, 19, 17, 10, 4, 14, 5, 6, 4, 12, 11, 10, 20, 15, 14, 2, 9, 14, 3, 3, 14, 2, 9, 10, 8, 14, 18, 10, 6, 5, 17, 10, 8, 18, 9, 17, 10, 5, 15, 3, 13, 7, 6, 16, 4, 11, 1, 9]"
28,-56922.0,-9400.0,-22844.219999999972,-22412.0,4677.05,72407,9.780110359191895,"[3, 2, 4, 15, 14, 4, 3, 14, 16, 1, 19, 10, 19, 20, 13, 1, 13, 18, 1, 5, 2, 18, 10, 17, 7, 1, 1, 9, 5, 14, 6, 20, 1, 2, 6, 17, 6, 13, 13, 14, 16, 15, 2, 15, 3, 6, 8, 7, 8, 6, 17, 7, 18, 13]"
29,-55929.0,-9400.0,-22674.380000000005,-22408.0,4652.69,72061,9.779326915740967,"[3, 2, 4, 15, 14, 4, 3, 14, 16, 1, 19, 10, 19, 20, 13, 1, 13, 18, 1, 5, 2, 18, 10, 17, 7, 1, 1, 9, 5, 14, 6, 20, 1, 2, 6, 17, 6, 13, 13, 14, 16, 15, 2, 15, 3, 6, 8, 7, 8, 6, 17, 7, 18, 13]"
30,-58420.0,-9400.0,-22476.160000000033,-21916.0,4634.02,72264,9.86415719985962,"[3, 2, 4, 15, 14, 4, 3, 14, 16, 1, 19, 10, 19, 20, 13, 1, 13, 18, 1, 5, 2, 18, 10, 17, 7, 1, 1, 9, 5, 14, 6, 20, 1, 2, 6, 17, 6, 13, 13, 14, 16, 15, 2, 15, 3, 6, 8, 7, 8, 6, 17, 7, 18, 13]"
31,-59920.0,-8405.0,-22365.910000000033,-21913.0,4656.98,72002,9.8708016872406,"[3, 2, 4, 15, 14, 4, 3, 10, 17, 6, 19, 10, 19, 20, 13, 14, 18, 14, 13, 12, 2, 18, 9, 17, 7, 18, 14, 2, 5, 12, 6, 3, 18, 9, 6, 19, 6, 14, 5, 13, 17, 11, 18, 11, 3, 10, 1, 2, 13, 8, 17, 7, 18, 13]"
32,-57914.0,-8405.0,-22255.780000000028,-21910.0,4677.1,72116,9.882306098937988,"[3, 2, 4, 15, 14, 4, 3, 10, 17, 6, 19, 10, 19, 20, 13, 14, 18, 14, 13, 12, 2, 18, 9, 17, 7, 18, 14, 2, 5, 12, 6, 3, 18, 9, 6, 19, 6, 14, 5, 13, 17, 11, 18, 11, 3, 10, 1, 2, 13, 8, 17, 7, 18, 13]"
33,-56420.0,-8405.0,-22110.209999999963,-21904.0,4681.61,72174,9.917749166488647,"[3, 2, 4, 15, 14, 4, 3, 10, 17, 6, 19, 10, 19, 20, 13, 14, 18, 14, 13, 12, 2, 18, 9, 17, 7, 18, 14, 2, 5, 12, 6, 3, 18, 9, 6, 19, 6, 14, 5, 13, 17, 11, 18, 11, 3, 10, 1, 2, 13, 8, 17, 7, 18, 13]"
34,-53423.0,-7899.0,-21955.709999999963,-21415.0,4682.66,72388,9.969209909439087,"[3, 2, 4, 15, 14, 4, 3, 14, 17, 5, 19, 8, 19, 20, 13, 1, 13, 18, 1, 5, 2, 18, 10, 17, 7, 1, 1, 9, 5, 14, 6, 20, 1, 2, 6, 17, 6, 13, 13, 14, 16, 15, 2, 15, 3, 6, 8, 7, 8, 6, 17, 7, 18, 13]"
35,-56420.0,-7899.0,-21751.630000000005,-21410.0,4680.07,71859,9.637556552886963,"[3, 2, 4, 15, 14, 4, 3, 14, 17, 5, 19, 8, 19, 20, 13, 1, 13, 18, 1, 5, 2, 18, 10, 17, 7, 1, 1, 9, 5, 14, 6, 20, 1, 2, 6, 17, 6, 13, 13, 14, 16, 15, 2, 15, 3, 6, 8, 7, 8, 6, 17, 7, 18, 13]"
36,-62414.0,-7899.0,-21585.31999999995,-21403.0,4670.54,72236,9.909658432006836,"[3, 2, 4, 15, 14, 4, 3, 14, 17, 5, 19, 8, 19, 20, 13, 1, 13, 18, 1, 5, 2, 18, 10, 17, 7, 1, 1, 9, 5, 14, 6, 20, 1, 2, 6, 17, 6, 13, 13, 14, 16, 15, 2, 15, 3, 6, 8, 7, 8, 6, 17, 7, 18, 13]"
37,-56920.0,-7899.0,-21523.98999999999,-20917.0,4713.36,72461,9.902320861816406,"[3, 2, 4, 15, 14, 4, 3, 14, 17, 5, 19, 8, 19, 20, 13, 1, 13, 18, 1, 5, 2, 18, 10, 17, 7, 1, 1, 9, 5, 14, 6, 20, 1, 2, 6, 17, 6, 13, 13, 14, 16, 15, 2, 15, 3, 6, 8, 7, 8, 6, 17, 7, 18, 13]"
