gen,min,max,mean,median,std,num_invalid,time,best_individual
0,-61917.0,-13401.0,-22754.550000000047,-21917.0,3403.16,75367,18.933266401290894,"[7, 8, 12, 18, 11, 1, 8, 7, 5, 9, 5, 17, 15, 7, 4, 19, 7, 8, 7, 5, 6, 9, 20, 13, 14, 3, 2, 14, 17, 18, 6, 16, 3, 11, 9, 1, 5, 19, 15, 4, 7, 10, 16, 14, 2, 18, 7, 6, 10, 2, 18, 19, 17, 10]"
1,-57420.0,-9901.0,-19310.920000000042,-18406.0,3589.47,75056,19.641685247421265,"[18, 19, 10, 20, 1, 11, 8, 4, 18, 17, 2, 3, 9, 17, 9, 3, 11, 2, 10, 5, 13, 7, 8, 2, 13, 1, 18, 6, 13, 1, 4, 16, 16, 2, 9, 18, 18, 6, 9, 18, 11, 1, 10, 3, 2, 6, 1, 13, 15, 5, 15, 14, 2, 10]"
2,-66914.0,-7893.0,-16721.97999999998,-15411.0,3827.82,75195,19.49383568763733,"[17, 6, 17, 14, 4, 16, 4, 13, 6, 14, 14, 4, 16, 7, 13, 12, 3, 18, 19, 20, 2, 10, 18, 13, 5, 9, 6, 17, 18, 10, 5, 6, 7, 3, 7, 17, 6, 10, 20, 7, 2, 9, 20, 20, 11, 5, 2, 1, 9, 10, 8, 14, 17, 5]"
3,-56912.0,-7893.0,-14506.060000000056,-13400.0,4047.87,75485,19.544722318649292,"[17, 6, 17, 14, 4, 16, 4, 13, 6, 14, 14, 4, 16, 7, 13, 12, 3, 18, 19, 20, 2, 10, 18, 13, 5, 9, 6, 17, 18, 10, 5, 6, 7, 3, 7, 17, 6, 10, 20, 7, 2, 9, 20, 20, 11, 5, 2, 1, 9, 10, 8, 14, 17, 5]"
4,-57918.0,-6396.0,-12237.910000000033,-10899.0,4127.81,75517,18.902500867843628,"[17, 8, 17, 6, 6, 14, 18, 7, 2, 5, 10, 4, 2, 14, 14, 5, 19, 18, 13, 2, 9, 12, 11, 20, 5, 10, 6, 14, 18, 17, 7, 15, 3, 16, 3, 14, 14, 6, 9, 18, 11, 1, 10, 3, 2, 6, 1, 13, 2, 1, 9, 4, 13, 1]"
5,-60417.0,-5395.0,-10965.859999999986,-9395.0,4456.16,75162,18.54643225669861,"[18, 19, 16, 20, 1, 11, 8, 4, 18, 17, 2, 9, 15, 4, 5, 10, 11, 10, 3, 2, 9, 12, 11, 20, 5, 10, 6, 14, 17, 18, 6, 16, 3, 11, 9, 1, 5, 6, 19, 7, 2, 1, 10, 3, 2, 6, 1, 13, 16, 3, 2, 14, 1, 13]"
6,-65409.0,-4399.0,-10278.709999999963,-8893.0,4557.1,75747,18.68614935874939,"[18, 19, 10, 20, 1, 11, 8, 4, 18, 9, 2, 3, 1, 14, 9, 3, 11, 7, 20, 15, 13, 7, 8, 2, 13, 1, 2, 14, 17, 18, 6, 16, 3, 11, 9, 1, 18, 5, 2, 10, 9, 1, 13, 13, 2, 5, 1, 6, 10, 2, 18, 19, 17, 10]"
7,-62909.0,-3395.0,-9333.770000000019,-7897.0,4601.92,75293,18.581833839416504,"[18, 19, 10, 20, 1, 14, 18, 7, 2, 5, 10, 4, 2, 14, 5, 16, 15, 6, 13, 2, 14, 12, 11, 20, 5, 10, 6, 14, 18, 17, 7, 15, 3, 16, 3, 14, 14, 6, 9, 18, 11, 1, 10, 3, 2, 6, 1, 13, 2, 1, 9, 4, 13, 1]"
8,-57911.0,-2393.0,-8182.430000000051,-6401.0,4657.08,75401,18.57248282432556,"[18, 19, 10, 20, 1, 11, 8, 15, 18, 5, 10, 4, 2, 14, 2, 7, 13, 6, 12, 2, 14, 12, 11, 20, 5, 10, 6, 14, 18, 17, 7, 15, 3, 16, 3, 14, 14, 6, 9, 18, 11, 1, 10, 3, 2, 6, 1, 13, 2, 1, 9, 4, 13, 1]"
9,-53409.0,-1890.0,-7182.869999999995,-5397.0,4801.76,75044,18.275168895721436,"[18, 19, 10, 20, 1, 11, 8, 15, 5, 17, 10, 4, 2, 14, 2, 7, 13, 6, 12, 2, 14, 12, 11, 20, 5, 10, 6, 14, 18, 17, 7, 15, 3, 16, 3, 14, 14, 6, 9, 18, 11, 1, 10, 3, 2, 6, 1, 13, 2, 1, 9, 4, 18, 10]"
