gen,min,max,mean,median,std,num_invalid,time,best_individual
0,-55424.0,-13903.0,-22247.390000000014,-21911.0,2617.82,72302,18.566884756088257,"[2, 14, 1, 11, 16, 2, 16, 4, 8, 14, 15, 11, 16, 15, 13, 19, 3, 18, 19, 20, 2, 10, 18, 13, 5, 19, 1, 10, 17, 9, 14, 20, 17, 7, 10, 5, 10, 13, 2, 14, 2, 9, 12, 13, 7, 18, 18, 14, 16, 3, 12, 4, 14, 6]"
1,-57908.0,-9912.0,-18651.939999999944,-17911.0,2670.57,72417,19.206791877746582,"[7, 20, 19, 18, 8, 19, 2, 16, 14, 2, 10, 4, 2, 14, 14, 5, 19, 18, 13, 2, 9, 12, 11, 20, 5, 10, 6, 14, 18, 17, 7, 15, 3, 16, 3, 14, 14, 6, 9, 18, 11, 1, 10, 3, 2, 6, 1, 13, 20, 14, 20, 18, 20, 19]"
2,-47420.0,-9399.0,-15933.479999999981,-15401.0,2755.98,72259,19.031922340393066,"[18, 19, 10, 20, 1, 11, 8, 4, 18, 1, 15, 7, 1, 16, 19, 17, 3, 8, 14, 13, 13, 6, 17, 9, 3, 5, 10, 5, 4, 16, 16, 2, 5, 6, 14, 8, 20, 9, 2, 10, 13, 1, 11, 5, 19, 6, 14, 1, 15, 5, 15, 14, 2, 10]"
3,-45416.0,-7393.0,-13464.229999999981,-12899.0,2842.38,72347,18.739758014678955,"[9, 19, 5, 14, 13, 1, 12, 19, 13, 5, 11, 2, 13, 8, 9, 16, 7, 17, 1, 6, 2, 9, 18, 8, 10, 17, 6, 10, 13, 2, 7, 15, 3, 12, 4, 14, 2, 18, 17, 18, 14, 1, 8, 18, 6, 10, 1, 14, 6, 15, 18, 11, 14, 4]"
4,-42917.0,-5391.0,-11484.810000000056,-10407.0,2907.69,72626,18.45991826057434,"[18, 19, 10, 20, 1, 11, 8, 4, 18, 17, 2, 14, 1, 14, 2, 7, 13, 6, 12, 14, 6, 12, 11, 20, 5, 10, 6, 14, 18, 17, 7, 15, 3, 16, 3, 6, 2, 1, 6, 14, 10, 2, 11, 5, 6, 2, 13, 1, 10, 17, 15, 14, 2, 10]"
5,-51414.0,-4891.0,-9815.51000000001,-8901.0,2996.75,72391,18.256667613983154,"[18, 19, 10, 20, 1, 11, 8, 4, 18, 17, 2, 14, 1, 14, 2, 7, 13, 6, 12, 14, 6, 12, 11, 20, 5, 10, 6, 14, 18, 17, 7, 15, 3, 16, 3, 6, 2, 1, 18, 9, 10, 2, 11, 5, 6, 2, 13, 1, 10, 17, 15, 14, 2, 10]"
6,-41417.0,-3890.0,-7769.469999999972,-6895.0,3020.36,72344,17.646714448928833,"[18, 19, 10, 20, 1, 11, 8, 4, 18, 17, 2, 14, 1, 14, 2, 7, 13, 6, 12, 14, 6, 12, 11, 20, 5, 10, 6, 14, 18, 17, 7, 15, 3, 16, 10, 11, 17, 9, 5, 14, 2, 9, 12, 13, 5, 6, 1, 13, 6, 5, 15, 14, 2, 10]"
7,-45900.0,-2890.0,-5596.170000000042,-4891.0,2439.33,72107,17.14349126815796,"[18, 19, 10, 20, 1, 11, 8, 4, 18, 17, 2, 14, 1, 14, 2, 7, 13, 6, 12, 13, 14, 12, 11, 20, 5, 10, 6, 14, 18, 17, 7, 15, 3, 16, 3, 6, 2, 1, 18, 9, 10, 2, 11, 5, 6, 2, 13, 1, 10, 17, 15, 14, 1, 13]"
8,-40404.0,-2384.0,-4737.339999999967,-3891.0,2601.53,72243,17.150110721588135,"[18, 19, 10, 20, 1, 11, 8, 4, 18, 17, 2, 14, 1, 14, 2, 7, 13, 6, 12, 14, 14, 12, 11, 20, 5, 10, 6, 14, 18, 17, 7, 15, 3, 16, 3, 14, 14, 6, 9, 1, 10, 2, 11, 5, 6, 2, 13, 1, 10, 9, 18, 17, 1, 13]"
9,-44908.0,-1391.0,-3656.75,-2890.0,2564.04,72227,17.17860221862793,"[18, 19, 10, 20, 1, 11, 8, 4, 18, 17, 2, 14, 1, 14, 2, 7, 13, 6, 12, 13, 14, 12, 11, 20, 5, 10, 6, 14, 18, 17, 7, 15, 3, 16, 3, 14, 14, 6, 9, 1, 10, 2, 11, 5, 6, 2, 13, 1, 10, 17, 5, 6, 1, 13]"
